Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,MonthlyIncome_scaled,Attrition_encoded,Income_per_Year,Tenure_Ratio
22.0,No,Non-Travel,1123,Research & Development,16,2,Medical,1,22,4,Male,96,4,1,Laboratory Technician,4,Divorced,2935.0,7324,1,Y,Yes,13,3,2,80,2,1,2,2,1,0,0,0,-0.7858793280025126,0,1467.5,0.5
53.0,No,Travel_Rarely,1219,Sales,2,4,Life Sciences,1,23,1,Female,78,2,4,Manager,4,Married,15427.0,22021,2,Y,No,16,3,3,80,0,31,3,3,25,8,3,7,3.2534455115572483,0,482.09375,0.78125
38.0,No,Travel_Rarely,371,Research & Development,2,3,Life Sciences,1,24,4,Male,45,3,1,Research Scientist,4,Single,3944.0,4306,5,Y,Yes,11,3,3,80,0,6,3,3,3,2,1,2,-0.45961621856320756,0,563.4285714285714,0.42857142857142855
24.0,No,Non-Travel,673,Research & Development,11,2,Other,1,26,1,Female,96,4,2,Manufacturing Director,3,Divorced,4011.0,8232,0,Y,No,18,3,4,80,1,5,5,2,4,2,1,3,-0.4379515720493984,0,668.5,0.6666666666666666
36.0,Yes,Travel_Rarely,1218,Sales,9,4,Life Sciences,1,27,3,Male,82,2,1,Sales Representative,1,Single,3407.0,6986,7,Y,No,23,4,2,80,0,10,4,3,5,3,0,3,-0.6332567436067227,1,309.72727272727275,0.45454545454545453
34.0,No,Travel_Rarely,419,Research & Development,7,4,Life Sciences,1,28,1,Female,53,3,3,Research Director,2,Single,11994.0,21293,0,Y,No,11,3,3,80,0,13,4,3,12,6,2,11,2.1433748924243106,0,856.7142857142857,0.8571428571428571
21.0,No,Travel_Rarely,391,Research & Development,15,2,Life Sciences,1,30,3,Male,96,3,1,Research Scientist,4,Single,1232.0,19281,1,Y,No,14,3,4,80,0,0,6,3,0,0,0,0,-1.3365493729729154,0,1232.0,0.0
34.0,Yes,Travel_Rarely,699,Research & Development,6,1,Medical,1,31,2,Male,83,3,1,Research Scientist,1,Single,2960.0,17102,2,Y,No,11,3,3,80,0,8,2,3,4,2,1,3,-0.7777955046764644,1,328.8888888888889,0.4444444444444444
32.0,Yes,Travel_Frequently,1125,Research & Development,16,1,Life Sciences,1,33,2,Female,72,1,1,Research Scientist,1,Single,3919.0,4681,1,Y,Yes,22,4,2,80,0,10,5,3,10,2,6,7,-0.46770004188925574,1,356.27272727272725,0.9090909090909091
42.0,No,Travel_Rarely,691,Sales,8,4,Marketing,1,35,3,Male,48,3,2,Sales Executive,2,Married,6825.0,21173,0,Y,No,11,3,4,80,1,10,2,3,9,7,4,2,0.47196358153058615,0,620.4545454545455,0.8181818181818182
44.0,No,Travel_Rarely,477,Research & Development,7,4,Medical,1,36,1,Female,42,2,3,Healthcare Representative,4,Married,10248.0,2094,3,Y,No,14,3,4,80,1,24,4,3,22,6,5,17,1.5788006713331046,0,409.92,0.88
33.0,No,Travel_Rarely,924,Research & Development,2,3,Medical,1,39,3,Male,78,3,1,Laboratory Technician,4,Single,2496.0,6670,4,Y,No,11,3,4,80,0,7,3,3,1,1,0,0,-0.9278312656079188,0,312.0,0.125
44.0,No,Travel_Rarely,1459,Research & Development,10,4,Other,1,40,4,Male,41,3,2,Healthcare Representative,4,Married,6465.0,19121,2,Y,Yes,13,3,4,80,0,9,5,4,4,2,1,3,0.35555652563549217,0,646.5,0.4
30.0,No,Travel_Rarely,125,Research & Development,9,2,Medical,1,41,4,Male,83,2,1,Laboratory Technician,3,Single,2206.0,16117,1,Y,No,13,3,1,80,0,10,5,3,10,0,1,8,-1.021603616190078,0,200.54545454545453,0.9090909090909091
39.0,Yes,Travel_Rarely,895,Sales,5,3,Technical Degree,1,42,4,Male,56,3,2,Sales Representative,4,Married,2086.0,3335,3,Y,No,14,3,3,80,1,19,6,4,1,0,0,0,-1.0604059681551092,1,104.3,0.05
24.0,Yes,Travel_Rarely,813,Research & Development,1,3,Medical,1,45,2,Male,61,3,1,Research Scientist,4,Married,2293.0,3020,2,Y,Yes,16,3,1,80,1,6,2,2,2,0,2,0,-0.9934719110154302,1,327.57142857142856,0.2857142857142857
43.0,No,Travel_Rarely,1273,Research & Development,2,2,Medical,1,46,4,Female,72,4,1,Research Scientist,3,Divorced,2645.0,21923,1,Y,No,12,3,4,80,2,6,3,2,5,3,1,4,-0.8796516785846716,0,377.85714285714283,0.7142857142857143
50.0,Yes,Travel_Rarely,869,Sales,3,2,Marketing,1,47,1,Male,86,2,1,Sales Representative,3,Married,2683.0,3810,1,Y,Yes,14,3,3,80,0,3,2,3,3,2,0,2,-0.8673642671290783,1,670.75,0.75
35.0,No,Travel_Rarely,890,Sales,2,3,Marketing,1,49,4,Female,97,3,1,Sales Representative,4,Married,2014.0,9687,1,Y,No,13,3,1,80,0,2,3,3,2,2,2,2,-1.083687379334128,0,671.3333333333334,0.6666666666666666
36.0,No,Travel_Rarely,852,Research & Development,5,4,Life Sciences,1,51,2,Female,82,2,1,Research Scientist,1,Married,3419.0,13072,9,Y,Yes,14,3,4,80,1,6,3,4,1,1,0,0,-0.6293765084102196,0,488.42857142857144,0.14285714285714285
33.0,No,Travel_Frequently,1141,Sales,1,3,Life Sciences,1,52,3,Female,42,4,2,Sales Executive,1,Married,5376.0,3193,2,Y,No,19,3,1,80,2,10,3,3,5,3,1,3,0.0034251815528329108,0,488.72727272727275,0.45454545454545453
35.0,No,Travel_Rarely,464,Research & Development,4,2,Other,1,53,3,Male,75,3,1,Laboratory Technician,4,Divorced,1951.0,10910,1,Y,No,12,3,3,80,1,1,3,3,1,0,0,0,-1.1040586141157693,0,975.5,0.5
27.0,No,Travel_Rarely,1240,Research & Development,2,4,Life Sciences,1,54,4,Female,33,3,1,Laboratory Technician,1,Divorced,2341.0,19715,1,Y,No,13,3,4,80,1,1,6,3,1,0,0,0,-0.9779509702294177,0,1170.5,0.5
26.0,Yes,Travel_Rarely,1357,Research & Development,25,3,Life Sciences,1,55,1,Male,48,1,1,Laboratory Technician,3,Single,2293.0,10558,1,Y,No,12,3,3,80,0,1,2,2,1,0,0,1,-0.9934719110154302,1,1146.5,0.5
27.0,No,Travel_Frequently,994,Sales,8,3,Life Sciences,1,56,4,Male,37,3,3,Sales Executive,3,Single,8726.0,2975,1,Y,No,15,3,4,80,0,9,0,3,9,8,1,7,1.0866575072432907,0,872.6,0.9
30.0,No,Travel_Frequently,721,Research & Development,1,2,Medical,1,57,3,Female,58,3,2,Laboratory Technician,4,Single,4011.0,10781,1,Y,No,23,4,4,80,0,12,2,3,12,8,3,7,-0.4379515720493984,0,308.53846153846155,0.9230769230769231
34.0,No,Non-Travel,1065,Sales,23,4,Marketing,1,60,2,Male,72,3,2,Sales Executive,3,Single,4568.0,10034,0,Y,No,20,4,3,80,0,10,2,3,9,5,8,7,-0.2578439883450447,0,415.27272727272725,0.8181818181818182
37.0,No,Travel_Rarely,408,Research & Development,19,2,Life Sciences,1,61,2,Male,73,3,1,Research Scientist,2,Married,3022.0,10227,4,Y,No,21,4,1,80,0,8,1,3,1,0,0,0,-0.7577476228278649,0,335.77777777777777,0.1111111111111111
46.0,No,Travel_Frequently,1211,Sales,5,4,Marketing,1,62,1,Male,98,3,2,Sales Executive,4,Single,5772.0,20445,4,Y,Yes,21,4,3,80,0,14,4,3,9,6,0,8,0.13147294303743629,0,384.8,0.6
35.0,No,Travel_Rarely,1229,Research & Development,8,1,Life Sciences,1,63,4,Male,36,4,1,Laboratory Technician,4,Married,4903.5,4892,1,Y,No,19,3,4,80,0,1,2,3,1,0,0,1,-0.14935907930947792,0,2451.75,0.5
48.0,Yes,Travel_Rarely,626,Research & Development,1,2,Life Sciences,1,64,1,Male,98,2,3,Laboratory Technician,3,Single,5381.0,19294,9,Y,Yes,13,3,4,80,0,23,2,3,1,0,0,0,0.00504194621804255,1,224.20833333333334,0.041666666666666664
28.0,Yes,Travel_Rarely,1434,Research & Development,5,4,Technical Degree,1,65,3,Male,50,3,1,Laboratory Technician,3,Single,4903.5,11179,1,Y,Yes,13,3,3,80,0,2,3,2,2,2,2,2,-0.14935907930947792,1,1634.5,0.6666666666666666
44.0,No,Travel_Rarely,1488,Sales,1,5,Marketing,1,68,2,Female,75,3,2,Sales Executive,1,Divorced,5454.0,4009,5,Y,Yes,21,4,3,80,1,9,2,2,4,3,1,3,0.02864671033010327,0,545.4,0.4
35.0,No,Non-Travel,1097,Research & Development,11,2,Medical,1,70,3,Male,79,2,3,Healthcare Representative,1,Married,9884.0,8302,2,Y,Yes,13,3,3,80,1,10,3,3,4,0,2,3,1.461100203705843,0,898.5454545454545,0.36363636363636365
26.0,No,Travel_Rarely,1443,Sales,23,3,Marketing,1,72,3,Female,47,2,2,Sales Executive,4,Married,4157.0,21436,7,Y,Yes,19,3,3,80,1,5,2,2,2,2,0,0,-0.39074204382527694,0,692.8333333333334,0.3333333333333333
33.0,No,Travel_Frequently,515,Research & Development,1,2,Life Sciences,1,73,1,Female,98,3,3,Research Director,4,Single,13458.0,15146,1,Y,Yes,12,3,3,80,0,15,1,3,15,14,8,12,2.6167635863976924,0,841.125,0.9375
35.0,No,Travel_Frequently,853,Sales,18,5,Life Sciences,1,74,2,Male,71,3,3,Sales Executive,1,Married,9069.0,11031,1,Y,No,22,4,4,80,1,9,3,2,9,8,1,8,1.1975675632766718,0,906.9,0.9
35.0,No,Travel_Rarely,1142,Research & Development,23,4,Medical,1,75,3,Female,30,3,1,Laboratory Technician,1,Married,4014.0,16002,3,Y,Yes,15,3,3,80,1,4,3,3,2,2,2,2,-0.4369815132502726,0,802.8,0.4
31.0,No,Travel_Rarely,655,Research & Development,7,4,Life Sciences,1,76,4,Male,48,3,2,Laboratory Technician,4,Divorced,5915.0,9528,3,Y,No,22,4,4,80,1,10,3,2,7,7,1,7,0.17771241246243194,0,537.7272727272727,0.6363636363636364
37.0,No,Travel_Rarely,1115,Research & Development,1,4,Life Sciences,1,77,1,Male,51,2,2,Manufacturing Director,3,Divorced,5993.0,2689,1,Y,No,18,3,3,80,1,7,2,4,7,5,0,7,0.2029339412397023,0,749.125,0.875
32.0,No,Travel_Rarely,427,Research & Development,1,3,Medical,1,78,1,Male,33,3,2,Manufacturing Director,4,Married,6162.0,10877,1,Y,Yes,22,4,2,80,1,9,3,3,9,8,7,8,0.2575805869237881,0,616.2,0.9
38.0,No,Travel_Frequently,653,Research & Development,29,5,Life Sciences,1,79,4,Female,50,3,2,Laboratory Technician,4,Single,2406.0,5456,1,Y,No,11,3,4,80,0,10,2,3,10,3,9,9,-0.9569330295816924,0,218.72727272727272,0.9090909090909091
59.0,No,Travel_Rarely,1435,Research & Development,25,3,Life Sciences,1,81,1,Female,99,3,3,Sales Executive,1,Single,7637.0,2354,7,Y,No,11,3,4,80,0,28,3,2,21,16,7,9,0.7345261631606315,0,263.3448275862069,0.7241379310344828
36.0,No,Travel_Rarely,1223,Research & Development,8,3,Technical Degree,1,83,3,Female,59,3,3,Healthcare Representative,3,Divorced,10096.0,8202,1,Y,No,13,3,2,80,3,17,2,3,17,14,12,8,1.5296510255107316,0,560.8888888888889,0.9444444444444444
55.0,No,Travel_Rarely,836,Research & Development,8,3,Medical,1,84,4,Female,33,3,4,Manager,3,Divorced,14756.0,19730,2,Y,Yes,14,3,3,80,3,21,2,3,5,0,0,2,3.0364756934861146,0,670.7272727272727,0.22727272727272727
36.0,No,Travel_Frequently,1195,Research & Development,11,3,Life Sciences,1,85,2,Male,95,2,2,Manufacturing Director,2,Single,6499.0,22656,1,Y,No,13,3,3,80,0,6,3,3,6,5,0,3,0.3665505253589177,0,928.4285714285714,0.8571428571428571
45.0,No,Travel_Rarely,1339,Research & Development,7,3,Life Sciences,1,86,2,Male,59,3,3,Research Scientist,1,Divorced,4903.5,18787,2,Y,No,17,3,3,80,1,25,2,3,1,0,0,0,-0.14935907930947792,0,188.59615384615384,0.038461538461538464
35.0,No,Travel_Frequently,664,Research & Development,1,3,Medical,1,88,2,Male,79,3,1,Research Scientist,1,Married,2194.0,5868,4,Y,No,13,3,4,80,1,5,2,2,3,2,1,2,-1.025483851386581,0,365.6666666666667,0.5
36.0,Yes,Travel_Rarely,318,Research & Development,9,3,Medical,1,90,4,Male,79,2,1,Research Scientist,3,Married,3388.0,21777,0,Y,Yes,17,3,1,80,1,2,0,2,1,0,0,0,-0.6394004493345193,1,1129.3333333333333,0.3333333333333333
59.0,No,Travel_Frequently,1225,Sales,1,1,Life Sciences,1,91,1,Female,57,2,2,Sales Executive,3,Single,5473.0,24668,7,Y,No,11,3,4,80,0,20,2,2,4,3,1,3,0.0347904160578999,0,260.6190476190476,0.19047619047619047
29.0,No,Travel_Rarely,1328,Research & Development,2,3,Life Sciences,1,94,3,Male,76,3,1,Research Scientist,2,Married,2703.0,4956,0,Y,No,23,4,4,80,1,6,3,3,5,4,0,4,-0.8608972084682398,0,386.14285714285717,0.7142857142857143
31.0,No,Travel_Rarely,1082,Research & Development,1,4,Medical,1,95,3,Male,87,3,1,Research Scientist,2,Single,2501.0,18775,1,Y,No,17,3,2,80,0,1,4,3,1,1,1,0,-0.9262145009427092,0,1250.5,0.5
32.0,No,Travel_Rarely,548,Research & Development,1,3,Life Sciences,1,96,2,Male,66,3,2,Research Scientist,2,Married,6220.0,7346,1,Y,No,17,3,2,80,2,10,3,3,10,4,0,9,0.2763350570402199,0,565.4545454545455,0.9090909090909091
36.0,No,Travel_Rarely,132,Research & Development,6,3,Life Sciences,1,97,2,Female,55,4,1,Laboratory Technician,4,Married,3038.0,22002,3,Y,No,12,3,2,80,0,5,3,3,1,0,0,0,-0.7525739758991941,0,506.3333333333333,0.16666666666666666
31.0,No,Travel_Rarely,746,Research & Development,8,4,Life Sciences,1,98,3,Female,61,3,2,Manufacturing Director,4,Single,4424.0,20682,1,Y,No,23,4,4,80,0,11,2,3,11,7,1,8,-0.30440681070308223,0,368.6666666666667,0.9166666666666666
35.0,No,Travel_Rarely,776,Sales,1,4,Marketing,1,100,3,Male,32,2,2,Sales Executive,1,Single,4312.0,23016,0,Y,No,14,3,2,80,0,16,2,3,15,13,2,8,-0.34062233920377816,0,253.64705882352942,0.8823529411764706
45.0,No,Travel_Rarely,193,Research & Development,6,4,Other,1,101,4,Male,52,3,3,Research Director,1,Married,13245.0,15067,4,Y,Yes,14,3,2,80,0,17,3,4,0,0,0,0,2.547889411659762,0,735.8333333333334,0.0
37.0,No,Travel_Rarely,397,Research & Development,7,4,Medical,1,102,1,Male,30,3,3,Research Director,3,Single,13664.0,25258,4,Y,No,13,3,1,80,0,16,3,4,5,2,0,2,2.6833742906043296,0,803.7647058823529,0.29411764705882354
46.0,No,Travel_Rarely,945,Human Resources,5,2,Medical,1,103,2,Male,80,3,2,Human Resources,2,Divorced,5021.0,10425,8,Y,Yes,22,4,4,80,1,16,2,3,4,2,0,2,-0.11136510967705142,0,295.3529411764706,0.23529411764705882
30.0,No,Travel_Rarely,852,Research & Development,1,1,Life Sciences,1,104,4,Male,55,2,2,Laboratory Technician,4,Married,5126.0,15998,1,Y,Yes,12,3,3,80,2,10,1,2,10,8,3,0,-0.07741305170764902,0,466.0,0.9090909090909091
35.0,No,Travel_Rarely,1214,Research & Development,1,3,Medical,1,105,2,Male,30,2,1,Research Scientist,3,Single,2859.0,26278,1,Y,No,18,3,1,80,0,6,3,3,6,4,0,4,-0.8104541509136991,0,408.42857142857144,0.8571428571428571
55.0,No,Travel_Rarely,111,Sales,1,2,Life Sciences,1,106,1,Male,70,3,3,Sales Executive,4,Married,10239.0,18092,3,Y,No,14,3,4,80,1,24,4,3,1,0,1,0,1.5758904949357273,0,409.56,0.04
38.0,No,Non-Travel,573,Research & Development,6,3,Medical,1,107,2,Female,79,1,2,Research Scientist,4,Divorced,5329.0,15717,7,Y,Yes,12,3,4,80,3,17,3,3,13,11,1,9,-0.011772406300137692,0,296.05555555555554,0.7222222222222222
34.0,No,Travel_Rarely,1153,Research & Development,1,2,Medical,1,110,1,Male,94,3,2,Manufacturing Director,2,Married,4325.0,17736,1,Y,No,15,3,3,80,0,5,2,3,5,2,1,3,-0.3364187510742331,0,720.8333333333334,0.8333333333333334
56.0,No,Travel_Rarely,1400,Research & Development,7,3,Life Sciences,1,112,4,Male,49,1,3,Manufacturing Director,4,Single,7260.0,21698,4,Y,No,11,3,1,80,0,37,3,2,6,4,0,2,0.6126221074038247,0,191.05263157894737,0.15789473684210525
23.0,No,Travel_Rarely,541,Sales,2,1,Technical Degree,1,113,3,Male,62,3,1,Sales Representative,1,Divorced,2322.0,9518,3,Y,No,13,3,3,80,1,3,3,3,0,0,0,0,-0.9840946759572142,0,580.5,0.0
51.0,No,Travel_Rarely,432,Research & Development,9,4,Life Sciences,1,116,4,Male,96,3,1,Laboratory Technician,4,Married,2075.0,18725,3,Y,No,23,4,2,80,2,10,4,3,4,2,0,3,-1.0639628504185703,0,188.63636363636363,0.36363636363636365
30.0,No,Travel_Rarely,288,Research & Development,2,3,Life Sciences,1,117,3,Male,99,2,2,Healthcare Representative,4,Married,4152.0,15830,1,Y,No,19,3,1,80,3,11,3,3,11,10,10,8,-0.3923588084904866,0,346.0,0.9166666666666666
46.0,Yes,Travel_Rarely,669,Sales,9,2,Medical,1,118,3,Male,64,2,3,Sales Executive,4,Single,9619.0,13596,1,Y,No,16,3,4,80,0,9,3,3,9,8,4,7,1.3754116764497322,1,961.9,0.9
40.0,No,Travel_Frequently,530,Research & Development,1,4,Life Sciences,1,119,3,Male,78,2,4,Healthcare Representative,2,Married,13503.0,14115,1,Y,No,22,4,4,80,1,22,3,2,22,3,11,11,2.6313144683845793,0,587.0869565217391,0.9565217391304348
51.0,No,Travel_Rarely,632,Sales,21,4,Marketing,1,120,3,Male,71,3,2,Sales Executive,4,Single,5441.0,8423,0,Y,Yes,22,4,4,80,0,11,2,1,10,7,1,0,0.02444312220055821,0,453.4166666666667,0.8333333333333334
30.0,No,Travel_Rarely,1334,Sales,4,2,Medical,1,121,3,Female,63,2,2,Sales Executive,2,Divorced,5209.0,19760,1,Y,Yes,12,3,2,80,3,11,4,2,11,8,2,7,-0.050574758265169016,0,434.0833333333333,0.9166666666666666
46.0,No,Travel_Frequently,638,Research & Development,1,3,Medical,1,124,3,Male,40,2,3,Healthcare Representative,1,Married,10673.0,3142,2,Y,Yes,13,3,3,80,1,21,5,2,10,9,9,5,1.716225667875924,0,485.1363636363636,0.45454545454545453
32.0,No,Travel_Rarely,1093,Sales,6,4,Medical,1,125,2,Male,87,3,2,Sales Executive,3,Single,5010.0,24301,1,Y,No,16,3,1,80,0,12,0,3,11,8,5,7,-0.11492199194051263,0,385.38461538461536,0.8461538461538461
54.0,No,Travel_Rarely,1217,Research & Development,2,4,Technical Degree,1,126,1,Female,60,3,3,Research Director,3,Married,13549.0,24001,9,Y,No,12,3,1,80,1,16,5,1,4,3,0,3,2.646188703304508,0,797.0,0.23529411764705882
24.0,No,Travel_Rarely,1353,Sales,3,2,Other,1,128,1,Female,33,3,2,Sales Executive,3,Married,4999.0,17519,0,Y,No,21,4,1,80,1,4,2,2,3,2,0,2,-0.11847887420397384,0,999.8,0.6
28.0,No,Non-Travel,120,Sales,4,3,Medical,1,129,2,Male,43,3,2,Sales Executive,3,Married,4221.0,8863,1,Y,No,15,3,2,80,0,5,3,4,5,4,0,4,-0.3700474561105936,0,703.5,0.8333333333333334
58.0,No,Travel_Rarely,682,Sales,10,4,Medical,1,131,4,Male,37,3,4,Sales Executive,3,Single,13872.0,24409,0,Y,No,13,3,3,80,0,38,1,2,37,10,1,8,2.7506317006770504,0,355.6923076923077,0.9487179487179487
44.0,No,Non-Travel,489,Research & Development,23,3,Medical,1,132,2,Male,67,3,2,Laboratory Technician,2,Married,2042.0,25043,4,Y,No,12,3,3,80,1,17,3,4,3,2,1,2,-1.074633497208954,0,113.44444444444444,0.16666666666666666
37.0,Yes,Travel_Rarely,807,Human Resources,6,4,Human Resources,1,133,3,Male,63,3,1,Human Resources,1,Divorced,2073.0,23648,4,Y,Yes,22,4,4,80,0,7,3,3,3,2,0,2,-1.0646095562846543,1,259.125,0.375
32.0,No,Travel_Rarely,827,Research & Development,1,1,Life Sciences,1,134,4,Male,71,3,1,Research Scientist,1,Single,2956.0,15178,1,Y,No,13,3,4,80,0,1,2,3,1,0,0,0,-0.7790889164086321,0,1478.0,0.5
20.0,Yes,Travel_Frequently,871,Research & Development,6,3,Life Sciences,1,137,4,Female,66,2,1,Laboratory Technician,4,Single,2926.0,19783,1,Y,Yes,18,3,2,80,0,1,5,3,1,0,1,0,-0.7887895043998899,1,1463.0,0.5
34.0,No,Travel_Rarely,665,Research & Development,6,4,Other,1,138,1,Female,41,3,2,Research Scientist,3,Single,4809.0,12482,1,Y,No,14,3,3,80,0,16,3,3,16,13,2,10,-0.1799159314819401,0,282.88235294117646,0.9411764705882353
37.0,No,Non-Travel,1040,Research & Development,2,2,Life Sciences,1,139,3,Male,100,2,2,Healthcare Representative,4,Divorced,5163.0,15850,5,Y,No,14,3,4,80,1,17,2,4,1,0,0,0,-0.06544899318509768,0,286.8333333333333,0.05555555555555555
25.0,Yes,Travel_Rarely,240,Sales,5,3,Marketing,1,142,3,Male,46,2,2,Sales Executive,3,Single,5744.0,26959,1,Y,Yes,11,3,4,80,0,6,1,3,6,4,0,3,0.1224190609122623,1,820.5714285714286,0.8571428571428571
25.0,No,Travel_Rarely,1280,Research & Development,7,1,Medical,1,143,4,Male,64,2,1,Research Scientist,4,Married,2889.0,26897,1,Y,No,11,3,3,80,2,2,2,3,2,2,2,1,-0.8007535629224413,0,963.0,0.6666666666666666
22.0,No,Travel_Rarely,534,Research & Development,15,3,Medical,1,144,2,Female,59,3,1,Laboratory Technician,4,Single,2871.0,23785,1,Y,No,15,3,3,80,0,1,5,3,0,0,0,0,-0.8065739157171959,0,1435.5,0.0
51.0,No,Travel_Frequently,1456,Research & Development,1,4,Medical,1,145,1,Female,30,2,3,Healthcare Representative,1,Single,7484.0,25796,3,Y,No,20,4,3,80,0,23,1,2,13,12,12,8,0.6850531644052165,0,311.8333333333333,0.5416666666666666
34.0,Yes,Travel_Frequently,658,Research & Development,7,3,Life Sciences,1,147,1,Male,66,1,2,Laboratory Technician,3,Single,6074.0,22887,1,Y,Yes,24,4,4,80,0,9,3,3,9,7,0,6,0.22912552881609843,1,607.4,0.9
